Kingdom	Supergroup	Division	Class	Order	Family	Genus	Species
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Clausocalanus	Clausocalanus_furcatus
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Neocalanus	Neocalanus_cristatus
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Delibus	Delibus_nudus
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	Collosphaeridae	Acrosphaera	Acrosphaera_sp.
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Calocalanus	Calocalanus_minutus
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Oithona	Oithona_sp.
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Acrocalanus	Acrocalanus_gracilis
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Acrocalanus	Acrocalanus_sp.
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	Collosphaeridae	Collosphaera	Collosphaera_tuberosa
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	Collosphaeridae	NA	NA
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	Collosphaeridae	Siphonosphaera	Siphonosphaera_abyssi
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Delibus	Delibus_sp.
Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Appendicularia	Oikopleura	Oikopleura_dioica
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Calocalanus	Calocalanus_sp.
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Temora	NA
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium	Gymnodinium_aureolum
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	Sphaerozoidae	Collozoum	Collozoum_amoeboides
Eukaryota	Opisthokonta	Metazoa	Cnidaria	Cnidaria_X	Hydrozoa	Sulculeolaria	Sulculeolaria_quadrivalvis
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Corycaeus	Corycaeus_speciosus
Eukaryota	NA	NA	NA	NA	NA	NA	NA
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	Prorocentrum_micans
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	NA	NA
Eukaryota	Rhizaria	Radiolaria	NA	NA	NA	NA	NA
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Metridia	Metridia_longa
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Acartia	Acartia_longiremis
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	Sphaerozoidae	NA	NA
Eukaryota	Opisthokonta	Fungi	Basidiomycota	Ustilaginomycotina	Ustilaginomycetes	Ustilago	Ustilago_maydis
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	Collophidiidae	Collophidium	Collophidium_ellipsoides
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Paracalanus	Paracalanus_parvus
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	NA	NA	NA
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Paracalanus	Paracalanus_sp.
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	NA	NA	NA
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	Sphaerozoidae	Thalassicolla	Thalassicolla_melacapsa
Eukaryota	Excavata	Discoba	Euglenozoa	Diplonemea	DSPD-1	DSPD-1_X	DSPD-1_X_sp.
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Amphidiniopsidaceae	Islandinium	Islandinium_tricingulatum
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Malacostraca	Vibilia	Vibilia_armata
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_fusiforme
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Euchaeta	NA
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Calocalanus	Calocalanus_plumulosus
Eukaryota	Stramenopiles	Ochrophyta	Pelagophyceae	Pelagomonadales	Pelagomonadaceae	Pelagomonas	Pelagomonas_calceolata
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	NA	NA	NA
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium_veneficum
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophysiales	Oxyphysiaceae	Phalachroma	NA
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Malacostraca	Meganyctiphanes	Meganyctiphanes_norvegica
Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Hemiaulus	Hemiaulus_sinensis
Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Mecynocera	Mecynocera_clausi
Eukaryota	Alveolata	Ciliophora	Oligohymenophorea	Scuticociliatia_1	Pseudocohnilembidae	Pseudocohnilembus	Pseudocohnilembus_persalinus
Eukaryota	Opisthokonta	Metazoa	Cnidaria	Cnidaria_X	Scyphozoa	Pelagia	Pelagia_noctiluca
Eukaryota	Rhizaria	Radiolaria	Polycystinea	NA	NA	NA	NA
Eukaryota	Opisthokonta	Metazoa	Arthropoda	NA	NA	NA	NA
Eukaryota	Alveolata	Apicomplexa	Gregarinomorphea	Eugregarinorida	Cephaloidophoridae	Cephaloidophora	Cephaloidophora_sp.
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Subeucalanus	NA
Eukaryota	Excavata	Discoba	Euglenozoa	Diplonemea	Diplonemea_X	Diplonemea_XX	Diplonemea_XX_sp.
Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Fragilariopsis	Fragilariopsis_sublineata
Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Radial-centric-basal-Coscinodiscophyceae	Actinocyclus	Actinocyclus_curvatulus
Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Radial-centric-basal-Coscinodiscophyceae	Corethron	NA
Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	NA
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	Sphaerozoidae	Collozoum	NA
Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Appendicularia	Megalocercus	Megalocercus_huxleyi
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	Collosphaeridae	Collosphaera	Collosphaera_globularis-huxleyi
Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Appendicularia	Appendicularia_X	Appendicularia_X_sp.
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Ceratiaceae	Tripos	Tripos_tenuis
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Thoracosphaeraceae	Scrippsiella	Scrippsiella_acuminata
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Malacostraca	Themisto	NA
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Lepidodinium	Lepidodinium_viride
Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_debilis_2
Eukaryota	Opisthokonta	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Graphium	Graphium_rubrum
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	Sphaerozoidae	Collozoum	Collozoum_pelagicum
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_gutrula
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Pseudocalanus	Pseudocalanus_moultoni
Eukaryota	Rhizaria	Radiolaria	RAD-B	RAD-B_X	RAD-B-Group-IV	NA	NA
Eukaryota	Alveolata	Dinoflagellata	NA	NA	NA	NA	NA
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Spumellarida	Spumellarida-Group-I	Spumellarida-Group-I_X	Spumellarida-Group-I_X_sp.
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	Sphaerozoidae	Rhaphidozoum	Rhaphidozoum_acuferum
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	NA	NA	NA
Eukaryota	Opisthokonta	Metazoa	Cnidaria	Cnidaria_X	Hydrozoa	Nanomia	Nanomia_bijuga
Eukaryota	Rhizaria	Radiolaria	Acantharea	Arthracanthida-Symphyacanthida	Arthracanthida-Symphyacanthida_X	NA	NA
Eukaryota	Rhizaria	NA	NA	NA	NA	NA	NA
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Subeucalanus	Subeucalanus_mucronatus
Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-Group-I-Clade-4	Dino-Group-I-Clade-4_X	Dino-Group-I-Clade-4_X_sp.
Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Appendicularia	NA	NA
Eukaryota	Rhizaria	Radiolaria	Acantharea	Arthracanthida-Symphyacanthida	Arthracanthida-Symphyacanthida_X	Acanthometra	Acanthometra_sp.
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Blastodiniaceae	Blastodinium	Blastodinium_spinulosum
Eukaryota	Amoebozoa	Lobosa	Discosea-Flabellinia	Vannellida	Vannellidae	Vannella	Vannella_aberdonica
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Calocalanus	Calocalanus_pavo
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Gonyaulax	Gonyaulax_polygramma
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Haloptilus	Haloptilus_longicornis
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Candacia	NA
Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae	Dictyochophyceae_X	Florenciellales	Pseudochattonella	Pseudochattonella_verruculosa
Eukaryota	Alveolata	Ciliophora	Spirotrichea	Tintinnida	Ptychocylididae	Cymatocylis	NA
Eukaryota	Stramenopiles	Sagenista	MAST-4	MAST-4A	MAST-4A_X	MAST-4A_XX	MAST-4A_XX_sp.
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Subeucalanus	Subeucalanus_subtenuis
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Neocalanus	NA
Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	NA
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Centropages	Centropages_furcatus
Eukaryota	Archaeplastida	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloropicon	Chloropicon_roscoffensis
Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-Group-I-Clade-1	Dino-Group-I-Clade-1_X	Dino-Group-I-Clade-1_X_sp.
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Peridiniopsidaceae	Parvodinium	Parvodinium_inconspicuum
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	Collodaria_X	Collodaria_XX	Collodaria_XX_sp.
Eukaryota	Alveolata	Apicomplexa	Gregarinomorphea	Eugregarinorida	Cephaloidophoridae	Cephaloidophora	Cephaloidophora_communis
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Temora	Temora_longicornis
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	Collosphaeridae	Siphonosphaera	Siphonosphaera_cyathina
Eukaryota	Stramenopiles	Sagenista	MAST-7	NA	NA	NA	NA
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	Sphaerozoidae	Sphaerozoum	Sphaerozoum_punctatum
Eukaryota	Opisthokonta	Metazoa	Cnidaria	Cnidaria_X	Hydrozoa	NA	NA
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Malacostraca	NA	NA
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Ceratiaceae	Tripos	Tripos_fusus
Eukaryota	Hacrobia	Picozoa	Picozoa_X	Picozoa_XX	Picozoa_XXX	Picomonas	Picomonas_judraskeda
Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_dichaeta
Eukaryota	Stramenopiles	Pseudofungi	MAST-1	MAST-1C	MAST-1C_X	MAST-1C_XX	MAST-1C_XX_sp.
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Protoperidiniaceae	Protoperidinium	NA
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Centropages	Centropages_hamatus
Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Fragilariopsis	Fragilariopsis_cylindrus
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	Prorocentrum_cordatum
Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	NA	NA	NA
Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Fragilariopsis	NA
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Copilia	Copilia_mirabilis
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Blastodiniaceae	Blastodinium	Blastodinium_mangini
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Candacia	Candacia_truncata
Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_rostratus
Eukaryota	Alveolata	Ciliophora	Spirotrichea	NA	NA	NA	NA
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Malacostraca	Euphausia	Euphausia_superba
Eukaryota	Alveolata	NA	NA	NA	NA	NA	NA
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	Collosphaeridae	Siphonosphaera	NA
Eukaryota	Opisthokonta	Metazoa	Cnidaria	Cnidaria_X	Hydrozoa	Cordagalma	Cordagalma_cordiforme
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Torodiniales	Torodiniaceae	Torodinium	Torodinium_teredo
Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Ascidiacea	Doliolum	NA
Eukaryota	Rhizaria	Radiolaria	RAD-B	RAD-B_X	RAD-B-Group-II	RAD-B-Group-II_X	RAD-B-Group-II_X_sp.
Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-22	Dino-Group-II-Clade-22_X	Dino-Group-II-Clade-22_X_sp.
Eukaryota	Excavata	Discoba	Euglenozoa	Diplonemea	NA	NA	NA
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	NA	NA
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Spumellarida	Spumellarida-Group-I	NA	NA
Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae	Dictyochophyceae_X	Pedinellales	Pedinella	Pedinella_sp.
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium	Gymnodinium_sp.
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Branchiopoda	Bythotrephes	Bythotrephes_cederstroemi
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Spumellarida	Spumellarida_X	Spumellarida_XX	Spumellarida_XX_sp.
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Dinophysiales	Dinophysiaceae	Ornithocercus	Ornithocercus_magnificus
Eukaryota	Opisthokonta	Metazoa	Cnidaria	Cnidaria_X	Hydrozoa	Forskalia	Forskalia_edwardsi
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa
Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	NA	NA
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_dominans
Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptomonadales	Cryptomonadales_X	Teleaulax	Teleaulax_amphioxeia
Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	NA	NA
Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus_prasinos
Eukaryota	Stramenopiles	Opalozoa	MAST-3	MAST-3B	MAST-3B_X	MAST-3B_XX	MAST-3B_XX_sp.
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Spumellarida	Spongodiscidae-Coccodiscidae	NA	NA
Eukaryota	Rhizaria	Cercozoa	Filosa-Thecofilosea	Ebriida	TAGIRI1-lineage	TAGIRI1-lineage_X	TAGIRI1-lineage_X_sp.
Eukaryota	Opisthokonta	Metazoa	Cnidaria	Cnidaria_X	Hydrozoa	Aglaura	Aglaura_hemistoma
Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Ascidiacea	Thalia	Thalia_orientalis
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Goniodoma	Goniodoma_polyedricum
Eukaryota	Rhizaria	Foraminifera	Globothalamea	Rotaliida	Heterohelicacea	Gallitellia	Gallitellia_vivans
Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Pontellina	Pontellina_plumata
Eukaryota	Opisthokonta	Metazoa	Cnidaria	Cnidaria_X	Hydrozoa	Liriope	Liriope_tetraphylla
Eukaryota	Rhizaria	Radiolaria	RAD-B	RAD-B_X	RAD-B-Group-IV	Sticholonche	Sticholonche_sp.
Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-7	Dino-Group-II-Clade-7_X	Dino-Group-II-Clade-7_X_sp.
Eukaryota	Alveolata	Ciliophora	Spirotrichea	Tintinnida	NA	NA	NA
Eukaryota	Stramenopiles	Ochrophyta	Pelagophyceae	Pelagomonadales	Pelagomonadaceae	Aureococcus	Aureococcus_anophagefferens
Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Araphid-pennate	Thalassionema	Thalassionema_sp.
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Protoperidiniaceae	Protoperidinium	Protoperidinium_pellucidum
Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus_tauri
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Sapphirina	Sapphirina_sp.
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Amphidomataceae	Azadinium	NA
Eukaryota	Alveolata	Apicomplexa	Apicomplexa_X	Apicomplexa_XX	Aggregatidae	Aggregata	Aggregata_sp.
Eukaryota	Rhizaria	Cercozoa	Phaeodarea	Phaeocystida	Aulacanthidae	Aulacantha	Aulacantha_scolymantha
Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-Group-I-Clade-7	Dino-Group-I-Clade-7_X	Dino-Group-I-Clade-7_X_sp.
Eukaryota	Rhizaria	Cercozoa	Filosa-Thecofilosea	Cryomonadida	Protaspa-lineage	Protaspa	Protaspa_longipes
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Spumellarida	NA	NA	NA
Eukaryota	Stramenopiles	Sagenista	MAST-4	MAST-4C	MAST-4C_X	MAST-4C_XX	MAST-4C_XX_sp.
Eukaryota	Archaeplastida	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloropicon	Chloropicon_mariensis
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Protoperidiniaceae	Protoperidinium	Protoperidinium_sp.
Eukaryota	Opisthokonta	Metazoa	Annelida	Annelida_X	Annelida_XX	Ophelina	Ophelina_sp.
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Calocalanus	NA
Eukaryota	Rhizaria	Radiolaria	RAD-A	RAD-A_X	RAD-A_XX	RAD-A_XXX	RAD-A_XXX_sp.
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	Collophidiidae	NA	NA
Eukaryota	Alveolata	Ciliophora	Colpodea	Colpodea_X	Cyrtolophosidida	Aristerostoma	Aristerostoma_sp.
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	Sphaerozoidae	Thalassophysa	Thalassophysa_pelagica
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Acartia	Acartia_negligens
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Goniodomataceae	Alexandrium	NA
Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-40	Dino-Group-II-Clade-40_X	Dino-Group-II-Clade-40_X_sp.
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Protoperidiniaceae	Protoperidinium	Protoperidinium_divergens
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Branchiopoda	Penilia	Penilia_avirostris
Eukaryota	Opisthokonta	Metazoa	Annelida	Annelida_X	Annelida_XX	NA	NA
Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Conticribra	Conticribra_weissflogii
Eukaryota	Opisthokonta	Metazoa	Annelida	Annelida_X	Annelida_XX	Tomopteris	Tomopteris_sp.
Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Raphid-pennate	Pseudo-nitzschia	Pseudo-nitzschia_delicatissima
Eukaryota	Stramenopiles	Sagenista	MAST-7	MAST-7B	MAST-7B_X	MAST-7B_XX	MAST-7B_XX_sp.
Eukaryota	Alveolata	Apicomplexa	Gregarinomorphea	Eugregarinorida	Cephaloidophoridae	Cephaloidophora	NA
Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-V	Dino-Group-V_X	Dino-Group-V_XX	Dino-Group-V_XX_sp.
Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Thalassiosira	Thalassiosira_oceanica
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Ostracoda	Conchoecia	Conchoecia_sp.
Eukaryota	Stramenopiles	Opalozoa	Bicoecea	Anoecales	Cafeteriaceae	Cafeteria	Cafeteria_roenbergensis
Eukaryota	Opisthokonta	Metazoa	Annelida	Annelida_X	Annelida_XX	Vanadis	Vanadis_formosa
Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	NA	NA	NA
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Sapphirina	Sapphirina_darwinii
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina_leadbeateri
Eukaryota	Stramenopiles	Pseudofungi	MAST-1	MAST-1D	MAST-1D_X	MAST-1D_XX	MAST-1D_XX_sp.
Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Malacostraca	Lycaea	Lycaea_pulex
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Blastodiniaceae	Blastodinium	Blastodinium_galatheanum
Eukaryota	Alveolata	Dinoflagellata	Noctilucophyceae	Noctilucales	Noctilucaceae	Noctiluca	Noctiluca_scintillans
Eukaryota	Stramenopiles	Opalozoa	MAST-3	MAST-3E	MAST-3E_X	MAST-3E_XX	MAST-3E_XX_sp.
Eukaryota	Hacrobia	Telonemia	Telonemia_X	Telonemia_XX	Telonemia-Group-2	Telonemia-Group-2_X	Telonemia-Group-2_X_sp.
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	Amphidomataceae	Azadinium	Azadinium_trinitatum
Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-Group-I-Clade-4	Euduboscquella	NA
Eukaryota	Rhizaria	Radiolaria	RAD-B	RAD-B_X	RAD-B-Group-I	RAD-B-Group-I_X	RAD-B-Group-I_X_sp.
Eukaryota	Opisthokonta	Metazoa	Urochordata	Urochordata_X	Ascidiacea	Pegea	Pegea_confoederata
Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Radial-centric-basal-Coscinodiscophyceae	Proboscia	Proboscia_alata
Eukaryota	Alveolata	Dinoflagellata	Syndiniales	NA	NA	NA	NA
Eukaryota	Hacrobia	Picozoa	Picozoa_X	Picozoa_XX	Picozoa_XXX	NA	NA
Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae	Dictyochophyceae_X	Dictyochales	Dictyochales_X	Dictyochales_X_sp.
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium	NA
Eukaryota	Amoebozoa	Lobosa	Discosea-Flabellinia	Vannellida	Vannellidae	Vannella	Vannella_contorta
Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-26	Dino-Group-II-Clade-26_X	Dino-Group-II-Clade-26_X_sp.
Eukaryota	Alveolata	Apicomplexa	Gregarinomorphea	Eugregarinorida	Polyplicariidae	Polyplicarium	Polyplicarium_citrusae
Eukaryota	Alveolata	Ciliophora	Spirotrichea	Strombidiida_E	Strombidiida_E_X	Strombidiida_E_XX	Strombidiida_E_XX_sp.
Eukaryota	Hacrobia	Telonemia	Telonemia_X	Telonemia_XX	Telonemia-Group-1	Telonema-Group-1	Telonema_subtile
Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-10-and-11	Dino-Group-II-Clade-10-and-11_X	Dino-Group-II-Clade-10-and-11_X_sp.
Eukaryota	Rhizaria	Radiolaria	RAD-B	RAD-B_X	NA	NA	NA
Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	NA	NA
Eukaryota	Hacrobia	Katablepharidophyta	Katablepharidaceae	Katablepharidales	Katablepharidales_X	NA	NA
